23.0,-12.0,25.0,31.0,22.0,0.0,1.6666666666666667,3.0,1.3333333333333333,-1.0,0.0,1.0
26.0,-12.0,28.0,34.0,23.0,3.0,1.6666666666666667,2.0,1.5,-1.0,1.0,1.0
30.0,-13.0,31.0,37.0,23.0,3.0,2.0,2.0,1.8333333333333333,-0.8333333333333334,0.0,1.0
34.0,-13.0,34.0,40.0,26.0,3.0,2.0,2.0,2.1666666666666665,-0.6666666666666666,0.0,0.0
34.0,-14.0,34.0,43.0,29.0,0.0,2.0,2.0,2.1666666666666665,-0.5,1.0,1.0
37.0,-14.0,37.0,43.0,30.0,3.0,2.0,2.0,2.3333333333333335,-0.5,1.0,0.0
37.0,-17.0,37.0,46.0,33.0,0.0,2.0,2.0,2.3333333333333335,-0.8333333333333334,0.0,1.0
40.0,-18.0,40.0,49.0,36.0,3.0,2.0,2.0,2.3333333333333335,-1.0,0.0,1.0
45.0,-18.0,43.0,49.0,36.0,3.0,2.0,2.0,2.5,-0.8333333333333334,1.0,0.5
46.0,-19.0,44.0,49.0,36.0,1.0,1.6666666666666667,2.0,2.0,-1.0,0.0,1.0
49.0,-19.0,47.0,49.0,36.0,3.0,2.1666666666666665,3.0,2.5,-0.8333333333333334,1.0,1.0
53.0,-19.0,50.0,49.0,36.0,3.0,2.1666666666666665,2.0,2.6666666666666665,-0.8333333333333334,1.0,1.0
56.0,-20.0,53.0,49.0,36.0,3.0,2.6666666666666665,2.0,3.1666666666666665,-0.5,0.0,1.0
61.0,-20.0,56.0,49.0,36.0,3.0,2.6666666666666665,1.0,3.5,-0.3333333333333333,1.0,0.5
62.0,-21.0,57.0,49.0,36.0,1.0,2.3333333333333335,2.0,2.8333333333333335,-0.5,0.0,0.0
63.0,-24.0,57.0,49.0,36.0,0.0,2.1666666666666665,2.0,2.8333333333333335,-0.8333333333333334,0.0,1.0
66.0,-24.0,60.0,49.0,36.0,3.0,2.1666666666666665,2.0,2.8333333333333335,-0.8333333333333334,1.0,1.0
67.0,-24.0,63.0,49.0,36.0,3.0,2.1666666666666665,1.0,2.3333333333333335,-0.8333333333333334,0.0,1.0
70.0,-24.0,66.0,49.0,36.0,3.0,2.1666666666666665,1.0,2.3333333333333335,-0.6666666666666666,1.0,1.0
72.0,-25.0,69.0,49.0,36.0,3.0,2.1666666666666665,2.0,1.8333333333333333,-0.8333333333333334,1.0,1.0
76.0,-25.0,72.0,49.0,36.0,3.0,2.5,1.0,2.3333333333333335,-0.6666666666666666,0.0,0.0
77.0,-27.0,72.0,49.0,36.0,0.0,2.5,2.0,2.3333333333333335,-0.5,1.0,0.5
77.0,-27.0,73.0,49.0,36.0,1.0,2.1666666666666665,2.0,1.8333333333333333,-0.5,0.0,1.0
78.0,-27.0,76.0,49.0,36.0,3.0,2.1666666666666665,2.0,1.8333333333333333,-0.5,0.0,1.0
81.0,-28.0,79.0,49.0,36.0,3.0,2.1666666666666665,1.0,1.8333333333333333,-0.6666666666666666,1.0,1.0
82.0,-28.0,82.0,49.0,36.0,3.0,2.1666666666666665,2.0,1.6666666666666667,-0.5,0.0,1.0
6.0,-1.0,3.0,3.0,3.0,3.0,3.0,10.0,6.0,-1.0,0.0,1.0
10.0,-2.0,6.0,6.0,3.0,3.0,3.0,1.0,5.0,-1.0,1.0,0.0
11.0,-4.0,6.0,9.0,3.0,0.0,2.0,10.0,3.6666666666666665,-1.3333333333333333,0.0,0.0
13.0,-8.0,6.0,12.0,6.0,0.0,1.5,5.0,3.25,-2.0,0.0,1.0
17.0,-8.0,9.0,15.0,7.0,3.0,1.8,8.0,3.4,-1.6,1.0,1.0
18.0,-8.0,12.0,15.0,10.0,3.0,2.0,11.0,3.0,-1.3333333333333333,0.0,1.0
24.0,-10.0,15.0,18.0,10.0,3.0,2.0,7.0,3.0,-1.5,1.0,1.0
27.0,-11.0,18.0,21.0,13.0,3.0,2.0,7.0,2.8333333333333335,-1.5,1.0,0.5
29.0,-13.0,19.0,24.0,14.0,1.0,2.1666666666666665,7.0,3.0,-1.5,0.0,1.0
32.0,-13.0,22.0,25.0,17.0,3.0,2.6666666666666665,4.0,3.1666666666666665,-0.8333333333333334,1.0,1.0
36.0,-14.0,25.0,28.0,20.0,3.0,2.6666666666666665,3.0,3.1666666666666665,-1.0,0.0,0.0
36.0,-15.0,25.0,28.0,21.0,0.0,2.1666666666666665,2.0,3.0,-1.1666666666666667,0.0,0.0
