Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Output1
23.0,-50.0,20.0,14.0,6.0,0.0,0.6666666666666666,6.0,0.6666666666666666,-2.3333333333333335,0.0,1.0
25.0,-50.0,23.0,17.0,6.0,3.0,1.1666666666666667,5.0,1.0,-1.8333333333333333,1.0,0.5
25.0,-50.0,24.0,18.0,6.0,1.0,0.8333333333333334,5.0,0.5,-1.6666666666666667,1.0,0.0
26.0,-52.0,24.0,18.0,6.0,0.0,0.6666666666666666,5.0,0.5,-1.8333333333333333,0.0,0.5
27.0,-53.0,25.0,19.0,6.0,1.0,0.8333333333333334,12.0,0.6666666666666666,-1.1666666666666667,1.0,0.5
28.0,-54.0,26.0,19.0,7.0,1.0,1.0,10.0,0.8333333333333334,-1.1666666666666667,0.0,0.5
28.0,-54.0,27.0,19.0,8.0,1.0,1.1666666666666667,10.0,0.8333333333333334,-0.6666666666666666,0.0,0.0
28.0,-56.0,27.0,19.0,8.0,0.0,0.6666666666666666,8.0,0.5,-1.0,1.0,0.0
29.0,-58.0,27.0,19.0,8.0,0.0,0.5,8.0,0.6666666666666666,-1.3333333333333333,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0
3.0,-2.0,4.0,4.0,0.0,3.0,2.0,1.0,1.5,-1.0,1.0,0.5
3.0,-2.0,5.0,4.0,1.0,1.0,1.6666666666666667,1.0,1.0,-0.6666666666666666,0.0,0.0
3.0,-4.0,5.0,4.0,1.0,0.0,1.25,1.0,0.75,-1.0,1.0,1.0
4.0,-4.0,8.0,4.0,4.0,3.0,1.6,1.0,0.8,-0.8,0.0,0.0
4.0,-5.0,8.0,4.0,4.0,0.0,1.3333333333333333,1.0,0.6666666666666666,-0.8333333333333334,1.0,0.0
5.0,-7.0,8.0,4.0,4.0,0.0,1.1666666666666667,12.0,0.8333333333333334,-1.1666666666666667,0.0,0.5
7.0,-9.0,9.0,5.0,4.0,1.0,0.8333333333333334,11.0,0.6666666666666666,-1.1666666666666667,1.0,1.0
8.0,-9.0,12.0,8.0,4.0,3.0,1.1666666666666667,10.0,0.8333333333333334,-1.1666666666666667,1.0,0.5
9.0,-10.0,13.0,8.0,5.0,1.0,1.3333333333333333,9.0,1.0,-1.0,0.0,0.0
9.0,-11.0,13.0,8.0,5.0,0.0,0.8333333333333334,9.0,0.8333333333333334,-1.1666666666666667,1.0,0.0
9.0,-14.0,13.0,8.0,5.0,0.0,0.8333333333333334,19.0,0.8333333333333334,-1.5,0.0,1.0
13.0,-15.0,16.0,11.0,5.0,3.0,1.3333333333333333,18.0,1.3333333333333333,-1.3333333333333333,1.0,0.0
14.0,-17.0,16.0,11.0,5.0,0.0,1.1666666666666667,17.0,1.1666666666666667,-1.3333333333333333,0.0,0.5
15.0,-18.0,17.0,11.0,6.0,1.0,0.8333333333333334,17.0,1.1666666666666667,-1.5,0.0,0.5
16.0,-19.0,18.0,12.0,6.0,1.0,0.8333333333333334,16.0,1.1666666666666667,-1.5,1.0,0.0
17.0,-23.0,18.0,12.0,6.0,0.0,0.8333333333333334,16.0,1.3333333333333333,-2.0,1.0,0.0
17.0,-24.0,18.0,12.0,6.0,0.0,0.8333333333333334,15.0,1.3333333333333333,-1.6666666666666667,0.0,0.5
18.0,-25.0,19.0,13.0,6.0,1.0,0.5,15.0,0.8333333333333334,-1.6666666666666667,1.0,0.0
20.0,-30.0,19.0,13.0,6.0,0.0,0.5,15.0,1.0,-2.1666666666666665,0.0,0.5
20.0,-30.0,20.0,13.0,7.0,1.0,0.5,14.0,0.8333333333333334,-2.0,0.0,0.0
21.0,-32.0,20.0,13.0,7.0,0.0,0.3333333333333333,13.0,0.8333333333333334,-2.1666666666666665,1.0,0.5
23.0,-34.0,21.0,13.0,8.0,1.0,0.5,16.0,1.0,-1.8333333333333333,0.0,0.5
24.0,-35.0,22.0,14.0,8.0,1.0,0.6666666666666666,16.0,1.1666666666666667,-1.8333333333333333,1.0,0.5
25.0,-36.0,23.0,15.0,8.0,1.0,0.6666666666666666,15.0,1.1666666666666667,-1.8333333333333333,1.0,1.0
28.0,-38.0,26.0,15.0,11.0,3.0,1.1666666666666667,15.0,1.3333333333333333,-1.3333333333333333,0.0,0.0
28.0,-40.0,26.0,15.0,11.0,0.0,1.0,15.0,1.3333333333333333,-1.6666666666666667,1.0,0.5
29.0,-41.0,27.0,15.0,12.0,1.0,1.1666666666666667,14.0,1.3333333333333333,-1.5,0.0,0.5
29.0,-41.0,28.0,16.0,12.0,1.0,1.1666666666666667,13.0,1.0,-1.1666666666666667,1.0,0.0
29.0,-44.0,28.0,16.0,12.0,0.0,1.0,13.0,0.8333333333333334,-1.5,0.0,0.0
0.0,-3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-3.0,1.0,0.0
0.0,-4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-2.0,0.0,0.0
0.0,-6.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-2.0,1.0,0.0
0.0,-7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,-1.75,0.0,0.0
0.0,-8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-1.6,1.0,0.0
0.0,-13.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,-2.1666666666666665,0.0,0.0
0.0,-17.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,-2.3333333333333335,0.0,1.0
2.0,-18.0,3.0,3.0,0.0,3.0,0.5,8.0,0.3333333333333333,-2.3333333333333335,1.0,0.0
2.0,-19.0,3.0,3.0,0.0,0.0,0.5,7.0,0.3333333333333333,-2.1666666666666665,0.0,0.5
4.0,-21.0,4.0,4.0,0.0,1.0,0.6666666666666666,5.0,0.6666666666666666,-2.3333333333333335,1.0,0.0
4.0,-22.0,4.0,4.0,0.0,0.0,0.6666666666666666,5.0,0.6666666666666666,-2.3333333333333335,0.0,0.5
6.0,-24.0,5.0,5.0,0.0,1.0,0.8333333333333334,5.0,1.0,-1.8333333333333333,1.0,1.0
8.0,-25.0,8.0,8.0,0.0,3.0,1.3333333333333333,5.0,1.3333333333333333,-1.3333333333333333,1.0,0.5
8.0,-25.0,9.0,8.0,1.0,1.0,1.0,5.0,1.0,-1.1666666666666667,0.0,0.5
8.0,-25.0,10.0,8.0,2.0,1.0,1.1666666666666667,4.0,1.0,-1.0,0.0,0.5
10.0,-27.0,11.0,9.0,2.0,1.0,1.1666666666666667,4.0,1.0,-1.0,1.0,1.0
12.0,-28.0,14.0,12.0,2.0,3.0,1.6666666666666667,3.0,1.3333333333333333,-1.0,1.0,1.0
15.0,-28.0,17.0,12.0,5.0,3.0,2.0,3.0,1.5,-0.6666666666666666,0.0,0.5
16.0,-29.0,18.0,12.0,6.0,1.0,1.6666666666666667,3.0,1.3333333333333333,-0.6666666666666666,0.0,0.0
18.0,-32.0,18.0,12.0,6.0,0.0,1.5,3.0,1.6666666666666667,-1.1666666666666667,1.0,0.5
18.0,-32.0,19.0,13.0,6.0,1.0,1.5,2.0,1.6666666666666667,-1.1666666666666667,1.0,1.0
20.0,-33.0,22.0,13.0,9.0,3.0,1.8333333333333333,3.0,1.6666666666666667,-1.0,0.0,1.0
21.0,-33.0,25.0,16.0,9.0,3.0,1.8333333333333333,3.0,1.5,-0.8333333333333334,1.0,0.0
22.0,-37.0,25.0,16.0,9.0,0.0,1.3333333333333333,2.0,1.1666666666666667,-1.5,0.0,0.5
23.0,-38.0,26.0,16.0,10.0,1.0,1.3333333333333333,1.0,1.1666666666666667,-1.5,0.0,0.5
24.0,-39.0,27.0,17.0,10.0,1.0,1.5,1.0,1.0,-1.1666666666666667,1.0,0.0
25.0,-42.0,27.0,17.0,10.0,0.0,1.3333333333333333,1.0,1.1666666666666667,-1.6666666666666667,0.0,0.0
25.0,-43.0,27.0,17.0,10.0,0.0,0.8333333333333334,1.0,0.8333333333333334,-1.6666666666666667,1.0,0.0
27.0,-46.0,27.0,17.0,10.0,0.0,0.3333333333333333,1.0,1.0,-2.1666666666666665,1.0,0.0
28.0,-48.0,27.0,17.0,10.0,0.0,0.3333333333333333,1.0,1.0,-1.8333333333333333,0.0,1.0
30.0,-48.0,30.0,17.0,13.0,3.0,0.6666666666666666,1.0,1.1666666666666667,-1.6666666666666667,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
0.0,-4.0,1.0,0.0,1.0,0.0,0.5,2.0,0.0,-2.0,1.0,1.0
2.0,-4.0,4.0,0.0,4.0,3.0,1.3333333333333333,2.0,0.6666666666666666,-1.3333333333333333,0.0,0.0
2.0,-5.0,4.0,0.0,4.0,0.0,1.0,2.0,0.5,-1.25,1.0,0.5
2.0,-5.0,5.0,0.0,5.0,1.0,1.0,2.0,0.4,-1.0,0.0,0.0
3.0,-7.0,5.0,0.0,5.0,0.0,0.8333333333333334,2.0,0.5,-1.1666666666666667,1.0,0.0
3.0,-8.0,5.0,0.0,5.0,0.0,0.6666666666666666,13.0,0.5,-1.3333333333333333,0.0,1.0
5.0,-8.0,8.0,3.0,5.0,3.0,1.1666666666666667,12.0,0.8333333333333334,-0.6666666666666666,1.0,0.0
6.0,-10.0,8.0,3.0,5.0,0.0,0.6666666666666666,11.0,0.6666666666666666,-1.0,1.0,0.0
7.0,-12.0,8.0,3.0,5.0,0.0,0.6666666666666666,10.0,0.8333333333333334,-1.1666666666666667,0.0,0.0
7.0,-13.0,8.0,3.0,5.0,0.0,0.5,10.0,0.8333333333333334,-1.3333333333333333,1.0,0.0
7.0,-15.0,8.0,3.0,5.0,0.0,0.5,9.0,0.6666666666666666,-1.3333333333333333,0.0,0.5
7.0,-15.0,9.0,4.0,5.0,1.0,0.6666666666666666,9.0,0.6666666666666666,-1.1666666666666667,1.0,0.0
7.0,-16.0,9.0,4.0,5.0,0.0,0.16666666666666666,9.0,0.3333333333333333,-1.3333333333333333,0.0,0.0
